county_name,state_id,avg_temp_2013,avg_temp_2014,avg_temp_2015,avg_temp_2016,avg_temp_2017,avg_temp_2018,avg_temp_2019,avg_temp_2020,avg_temp_2021,avg_temp_2022,avg_temp_2023,temp_change_2013_2023
Autauga,1,290.90236975769943,290.597038352464,292.0187823040758,292.6670794729831,292.3452219804609,291.77734468583253,292.59410463741744,292.2498622284815,291.5175893759863,291.71185874776046,292.5812123678732,1.6788426101737741
Baldwin,1,292.65216140013314,292.0892945018783,293.6970709749265,293.68125587944246,293.619363313612,293.2950899225423,293.910049140452,293.7340379443832,292.8782577198809,293.0175647409407,294.3694683287132,1.717306928580058
Barbour,1,291.2392362257113,291.1670600641182,292.65121396258434,293.12092597337454,292.72343577829895,292.10826146811183,293.09195781116273,292.9393303110049,292.15732829589166,292.2454641986673,292.8934230079277,1.6541867822164136
Bibb,1,290.53433563819874,290.3486386777876,291.66919469667886,292.5254704701358,292.10897432047926,291.5138393553205,292.3296671796219,291.81402053279066,291.2472351195168,291.5031142098259,292.381859686441,1.847524048242235
Blount,1,289.06736210767855,288.97209312517003,290.3099571571314,291.27217313380396,290.77425707359885,290.3681865864823,291.09625788709116,290.44652443732343,290.1482079507836,290.23619200616645,290.9857885252559,1.9184264175773365
Bullock,1,291.1281500420039,290.9872511192341,292.45877732261295,292.9295796020528,292.4274057784215,291.8964102855661,292.9179980787938,292.67636459092574,291.9305460442786,292.0175722019985,292.76884735649566,1.6406973144917743
Butler,1,291.5880370031671,291.1522215417215,292.8064880903285,293.12574814579875,292.6882651479422,292.1773115139815,293.2786945817626,292.91939468131966,292.0788162329626,292.1410311102043,293.18960911577403,1.6015721126069593
Calhoun,1,289.215269717098,289.03507073884543,290.3678609075925,291.409965626772,290.8065379060661,290.2857358401162,291.28867843511364,290.57557790948806,290.0926352287684,290.2615429185776,291.0156988669943,1.8004291498962743
Chambers,1,290.0800956333097,289.96521420610003,291.1741665620081,292.0826688070463,291.51429790440136,290.95892598786827,292.0306024751257,291.578142109108,290.8758286995518,291.02172780877,291.7882850606765,1.70818942736679
Cherokee,1,288.7903085539802,288.6203427186641,289.97047223301513,291.1121658607261,290.4962678484682,289.913473882107,290.88744868807174,290.1429275929078,289.8115156229125,289.77973409805924,290.64363598497215,1.8533274309919534
Chilton,1,290.45263169503187,290.20954081657464,291.5287905634535,292.3437968621903,291.9553930820217,291.3242555910585,292.2402180049456,291.8113569209693,291.11770050663534,291.34376582145893,292.1956941842667,1.7430624892348305
Choctaw,1,291.5878677376246,291.26549320571525,292.7553492826151,293.20752968186997,293.0332532859557,292.45303924109555,293.1024995980585,292.8808255694607,292.07566607412946,292.1723465342508,293.7233816009841,2.135513863359506
Clarke,1,291.85925650597966,291.4651751481092,293.032125409146,293.33664450902285,293.1105677212899,292.63300692666155,293.368777589361,293.075316883648,292.2410440160254,292.3096531987348,293.93278871530754,2.0735322093278796
Clay,1,289.3279496977392,289.19926629876676,290.5381576593985,291.41316159281007,290.8851722372409,290.35663589231183,291.37078217034707,290.83310288689756,290.2417046293455,290.39173108394226,291.1991551741988,1.8712054764595791
Cleburne,1,288.9372873111677,288.8260744043819,290.1237799935426,291.0740588432479,290.5623422326987,289.99449746773166,291.0388851653823,290.3796350936602,289.9483038188289,290.02211623493343,290.80357731019024,1.8662899990225128
Coffee,1,291.57600566256883,291.29397458415735,292.9835475365963,293.1385754413685,292.77847834767374,292.2140284528466,293.40407807750523,293.0552225435786,292.1762658591549,292.3318710430482,293.1129291879458,1.5369235253769489
Colbert,1,288.9970362176673,288.5855427268037,290.16179927955415,291.0258255848758,290.6578682679147,290.00912292322425,290.5920383043262,290.1260841312161,289.9556013713814,290.07647645004806,290.75167052591013,1.754634308242828
Conecuh,1,291.89070540254284,291.41253415252066,293.0883957053328,293.2464570055221,292.90035980465495,292.4486703473749,293.4896029737639,293.1415044844914,292.215766235909,292.2649293774479,293.5408566111686,1.6501512086257435
Coosa,1,290.29365795833917,290.07881532485726,291.4125066349096,292.2640344666624,291.74338268838403,291.2001268834502,292.1553352271545,291.7202546787876,291.0286553034288,291.196256406563,292.069841346328,1.7761833879888513
Covington,1,291.94131019772334,291.4945316340632,293.253389478375,293.2950859452099,292.9848395593991,292.44406286239456,293.6670908092676,293.2197715844303,292.30642854718513,292.40447246768133,293.48552095928403,1.5442107615606915
Crenshaw,1,291.51719610697864,291.11709019527973,292.8348320471022,293.06174310428474,292.6032250187801,292.08687128559416,293.2443271406526,292.88337908840845,292.04350287853686,292.1651787624422,293.0163379476855,1.4991418407068409
Cullman,1,288.9097084085939,288.8282707510293,290.19016097791814,291.1850908816589,290.6166451519349,290.2761262184431,290.90266451576383,290.27072107509827,290.0185686204374,290.0824255458417,290.8304825745567,1.9207741659628255
Dale,1,291.5665468092098,291.36676655874413,293.0119682988975,293.18606700946617,292.98782246484865,292.3438056077608,293.33978708948047,293.15559757695206,292.3040613555896,292.4585169959069,293.16329287138615,1.5967460621763507
Dallas,1,291.3241902898118,291.0093405098001,292.4862825231458,293.0899908708778,292.7654286058609,292.1809443483583,293.01911870038117,292.57290361204844,291.8128763982128,292.0550892523224,293.1555527562915,1.8313624664797317
DeKalb,1,288.0295336184832,287.84660649508925,289.2109805367406,290.31792369927865,289.7138928732838,289.1680115938211,290.0231866129001,289.41687499665255,289.15017157231534,289.0898342322544,289.86334238183395,1.8338087633507598
Elmore,1,290.88852453107165,290.67261241580195,291.9904588160099,292.70857478998823,292.22413166159754,291.7087180117617,292.65152407881135,292.299787292814,291.5582470921898,291.7382713993877,292.5561325079453,1.6676079768736258
Escambia,1,292.1877024631993,291.60361639246713,293.33616024935895,293.30839830950845,293.12469593292263,292.65981021835563,293.65644582623287,293.29826210744733,292.37335000941835,292.48866769628796,293.86065306564257,1.6729506024432794
